type,bom_ref,license-id,group,author,name,version,purl,path,description,vcs-url,vcs-comment,website-url,website-comment,issue-tracker-url,issue-tracker-comment,distribution-url,distribution-comment,hash-alg,hash-value,author-email,deprecated-status,deprecation-reason,timestamp
application,,,,,npm,10.9.2,,,,,,,,,,,,,,,,,
application,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-npm,3.0.0,,,Create CycloneDX Software Bill of Materials (SBOM) from NPM projects.,git+https://github.com/CycloneDX/cyclonedx-node-npm.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-node-npm#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-node-npm/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
library,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-library,8.3.0,,,Core functionality of CycloneDX for JavaScript (Node.js or WebBrowser).,git+https://github.com/CycloneDX/cyclonedx-javascript-library.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-javascript-library#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-javascript-library/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
application,test-git@1.0.0,ISC,,,test-git,1.0.0,pkg:npm/test-git@1.0.0?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2Fs-prak%2Ftest-git.git,,<h2> hello hiiiii</h2> ` single line `,git+https://github.com/s-prak/test-git.git,"as detected from PackageJson property ""repository.url""",https://github.com/s-prak/test-git#readme,"as detected from PackageJson property ""homepage""",https://github.com/s-prak/test-git/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
library,axios@1.10.0,MIT,,Matt Zabriskie,axios,1.10.0,pkg:npm/axios@1.10.0,node_modules/axios,Promise based HTTP client for the browser and node.js,git+https://github.com/axios/axios.git,"as detected from PackageJson property ""repository.url""",https://axios-http.com,"as detected from PackageJson property ""homepage""",https://github.com/axios/axios/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/axios/-/axios-1.10.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,ff5c58002e0c3ff1c41bedddb88845af86505d1e2c4173887bea3ab1dab37b29062f1e94a69ff5a7c307aa120d3af19e3fbc723477bbb6c889072738492554c7,,active,Active in npm registory,2025-06-14T12:11:51.743Z
library,follow-redirects@1.15.9,MIT,,Ruben Verborgh,follow-redirects,1.15.9,pkg:npm/follow-redirects@1.15.9,node_modules/follow-redirects,HTTP and HTTPS modules that follow redirects.,git+ssh://git@github.com/follow-redirects/follow-redirects.git,"as detected from PackageJson property ""repository.url""",https://github.com/follow-redirects/follow-redirects,"as detected from PackageJson property ""homepage""",https://github.com/follow-redirects/follow-redirects/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/follow-redirects/-/follow-redirects-1.15.9.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,81ec381ac5e2ccd81da11caa9b27cc1f20265ec64393a987912c59142cd6f60c256ed396e38083b586af33ecbeef6a83fd5ab6979e7490c179d834fc7ce2c9a9,ruben@verborgh.org,active,Active in npm registory,2024-09-06T08:57:40.841Z
library,form-data@4.0.3,MIT,,Felix Geisendörfer,form-data,4.0.3,pkg:npm/form-data@4.0.3,node_modules/form-data,A library to create readable multipart/form-data streams. Can be used to submit forms and file uploads to other web applications.,git://github.com/form-data/form-data.git,"as detected from PackageJson property ""repository.url""",https://github.com/form-data/form-data#readme,"as detected from PackageJson property ""homepage""",https://github.com/form-data/form-data/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/form-data/-/form-data-4.0.3.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,aac21340f7e6bcc39201d7b267ed7623573e08a4acb40140c2efbdef3ae75806c8af9bbcc1fb04c54cc27ac54b0bc3601ee454a8d378672e943d6513446b2570,felix@debuggable.com,active,Active in npm registory,2025-06-05T14:51:11.981Z
library,asynckit@0.4.0,MIT,,Alex Indigo,asynckit,0.4.0,pkg:npm/asynckit@0.4.0,node_modules/asynckit,Minimal async jobs utility library~ with streams support,git+https://github.com/alexindigo/asynckit.git,"as detected from PackageJson property ""repository.url""",https://github.com/alexindigo/asynckit#readme,"as detected from PackageJson property ""homepage""",https://github.com/alexindigo/asynckit/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/asynckit/-/asynckit-0.4.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,39e8bd387e2d461d18a94dc6c615fbf5d33f9b0560bdb64969235a464f9bb21923d12e5c7c772061a92b7818eb1f06ad5ca6f3f88a087582f1aca8a6d8c8d6d1,iam@alexindigo.com,active,Active in npm registory,2022-06-13T03:39:04.302Z
library,combined-stream@1.0.8,MIT,,Felix Geisendörfer,combined-stream,1.0.8,pkg:npm/combined-stream@1.0.8,node_modules/combined-stream,A stream that emits multiple other streams one after another.,git://github.com/felixge/node-combined-stream.git,"as detected from PackageJson property ""repository.url""",https://github.com/felixge/node-combined-stream,"as detected from PackageJson property ""homepage""",https://github.com/felixge/node-combined-stream/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/combined-stream/-/combined-stream-1.0.8.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,1503783117ee25e1dfedc05b04c2455e12920eafb690002b06599106f72f144e410751d9297b5214048385d973f73398c3187c943767be630e7bffb971da0476,felix@debuggable.com,active,Active in npm registory,2022-06-13T06:33:58.025Z
library,delayed-stream@1.0.0,MIT,,Felix Geisendörfer,delayed-stream,1.0.0,pkg:npm/delayed-stream@1.0.0,node_modules/delayed-stream,Buffers events from a stream until you are ready to handle them.,git://github.com/felixge/node-delayed-stream.git,"as detected from PackageJson property ""repository.url""",https://github.com/felixge/node-delayed-stream,"as detected from PackageJson property ""homepage""",https://github.com/felixge/node-delayed-stream/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/delayed-stream/-/delayed-stream-1.0.0.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,672483ecd7fdd5a2c1d11c4be0a1ab28705797b11db350c098475ca156b05e72c3ed20e1a4d82db88236680920edaed04b8d63c4f499d7ba7855d1a730793731,felix@debuggable.com,active,Active in npm registory,2022-06-14T23:48:45.969Z
